0	0	0
-1.70926	-1.81531	1.43468
-1.491	-1.05564	-0.660582
-0.719982	-0.68388	0.139471
-1.6316	-2.0676	-0.681806
-1.008	-0.446609	1.34667
-0.331396	-0.065874	1.12409
-1.42762	-1.80924	-0.290646
-0.84633	-0.211629	-0.404635
-2.32281	-2.42902	0.558174
-1.491	-1.05564	-0.660582
-0.955948	-0.646266	0.939977
-1.83601	-1.23089	0.742928
0	0	0
-1.91634	-2.25167	0.491906
-1.87299	-1.2726	0.061294
-0.84792	-0.940227	0.491761
-1.17225	-0.120738	-0.151423
-1.56165	-1.5813	0.556477
-1.42762	-1.80924	-0.290646
-2.28262	-2.49175	-0.336766
-1.94192	-2.45527	-0.577025
0	0	0
-1.71072	-0.961389	1.45132
-1.69216	-0.867373	0.550128
0	0	0
-2.0864	-2.81893	0.358558
-0.874821	-0.19977	0.847063
-0.99936	-1.09996	0.115902
-2.14474	-2.86554	-0.566684
-1.008	-0.446609	1.34667
-1.50985	-1.34648	1.52157
0	0	0
-1.11915	-0.876172	1.54892
-0.912588	-1.07724	-0.474933
-1.94192	-2.45527	-0.577025
-2.49002	-2.64192	1.14322
-0.409127	-0.271832	0.074479
-1.27348	-0.328421	-0.54095
-2.14474	-2.86554	-0.566684
-0.733819	-0.755784	-0.265101
-0.716298	0.415218	0.695624
-0.773798	0.33658	1.56015
-1.15334	-1.43652	0.38619
-2.29635	-1.8518	1.25318
-2.52015	-2.08904	0.218991
-1.50768	-1.45428	0.176371
-1.60834	-1.19569	1.10746
-1.42762	-1.80924	-0.290646
-2.32281	-2.42902	0.558174
-1.88457	-2.30954	1.18373
0	0	0
-1.07677	-0.512723	-0.129404
-0.599342	-0.007207	0.614933
-0.84792	-0.940227	0.491761
-2.49002	-2.64192	1.14322
-0.331396	-0.065874	1.12409
-2.48601	-2.64332	0.011837
-0.733819	-0.755784	-0.265101
-2.34259	-1.97529	0.780809
-2.34259	-1.97529	0.780809
-1.44325	-1.84976	0.250221
-1.88524	-2.15563	-0.311972
-1.27348	-0.328421	-0.54095
-1.61135	-0.872045	0.009499
-1.83601	-1.23089	0.742928
-0.337325	0.142231	-0.319802
-1.07392	-1.21127	0.808494
-1.82608	-2.38686	1.57412
-2.7507	-2.43682	0.236721
0	0	0
0	0	0
0	0	0
-2.39328	-1.98687	-0.146486
-1.42762	-1.80924	-0.290646
-1.75482	-2.05162	0.899829
-0.955948	-0.646266	0.939977
-2.21102	-2.32315	0.07849
-1.491	-1.05564	-0.660582
-2.34259	-1.97529	0.780809
-0.409127	-0.271832	0.074479
-0.673674	0.202538	1.19583
-1.83601	-1.23089	0.742928
-0.654658	0.226521	0.265577
0	0	0
-0.599342	-0.007207	0.614933
-1.24031	-0.910136	1.06685
-1.06097	-1.29192	1.25344
-1.64006	-1.58662	-0.604055
-1.3348	-1.10189	-0.217427
-0.133774	0.04397	0.433378
-0.750636	0.212076	-0.436748
-1.42132	-0.543286	0.885926
0	0	0
-0.331396	-0.065874	1.12409
0	0	0
-0.802879	-0.172183	0.005767
-1.97155	-1.6709	0.581889
-1.15334	-1.43652	0.38619
0	0	0
-1.24031	-0.910136	1.06685
-0.750636	0.212076	-0.436748
-1.59383	-1.43523	-0.215652
-1.40824	-1.15711	0.538624
-2.39328	-1.98687	-0.146486
-1.6316	-2.0676	-0.681806
-1.60834	-1.19569	1.10746
0	0	0
-2.15109	-2.7796	1.43541
-1.97724	-1.28095	-0.352482
-1.3348	-1.10189	-0.217427
-1.61135	-0.872045	0.009499
-0.409127	-0.271832	0.074479
-1.59383	-1.43523	-0.215652
-1.91634	-2.25167	0.491906
-0.912588	-1.07724	-0.474933
0	0	0
-1.17029	-0.18828	0.453243
-2.60487	-2.43016	1.51629
-1.38643	-1.78317	0.880022
-0.76573	-0.533196	0.538354
0	0	0
0	0	0
-2.51371	-2.19906	-0.50233
0	0	0
0	0	0
-2.20866	-2.41872	0.965921
-0.76573	-0.533196	0.538354
-2.49002	-2.64192	1.14322
-1.1972	-1.47137	-0.131444
-0.331396	-0.065874	1.12409
-1.87299	-1.2726	0.061294
0	0	0
-0.829169	-0.865942	1.25508
-2.0864	-2.81893	0.358558
-0.996936	0.133131	0.637274
0	0	0
-1.07257	-0.08162	1.54134
-0.462893	0.128197	-0.729033
-1.75482	-2.05162	0.899829
-0.802879	-0.172183	0.005767
-1.42132	-0.543286	0.885926
-1.35587	-0.429166	0.149734
-1.82608	-2.38686	1.57412
0	0	0
-0.773798	0.33658	1.56015
-0.750636	0.212076	-0.436748
-0.55739	-0.56212	1.24267
-2.03843	-1.54016	-0.668291
0	0	0
-0.672751	-0.126389	1.51366
0	0	0
-0.337325	0.142231	-0.319802
-1.59383	-1.43523	-0.215652
-1.87299	-1.2726	0.061294
-0.874821	-0.19977	0.847063
-2.60487	-2.43016	1.51629
-1.68707	-2.17482	0.167865
-0.337325	0.142231	-0.319802
0	0	0
-0.802879	-0.172183	0.005767
-2.49002	-2.64192	1.14322
-1.82608	-2.38686	1.57412
-2.03843	-1.54016	-0.668291
0	0	0
0	0	0
