0	0	0
-1.725	-1.985	1.165
-1.375	-1.085	-0.655
-1.275	-0.485	0.135
-1.785	-1.725	-0.655
0	0	0
0	0	0
-1.795	-1.465	-0.175
-0.915	-0.055	-0.215
-2.255	-2.305	0.535
-1.375	-1.085	-0.655
-1.005	-0.555	0.695
-1.535	-1.245	0.625
-1.745	-1.325	0.275
-2.005	-2.035	0.615
-1.605	-1.365	0.025
-1.235	-0.365	0.665
-0.815	-0.475	-0.135
-1.805	-1.435	0.715
-1.795	-1.835	-0.185
0	0	0
-2.075	-1.785	-0.395
-1.375	-1.365	-0.285
0	0	0
-1.185	-1.055	0.605
-1.235	-0.365	0.665
-2.375	-2.155	0.285
-0.845	-0.005	0.825
-1.595	-1.015	0.235
0	0	0
-1.005	-0.695	1.135
-1.555	-1.515	1.305
0	0	0
0	0	0
-1.105	-1.075	-0.405
-1.795	-1.835	-0.185
0	0	0
-0.375	-0.155	0.245
-1.015	-0.755	-0.635
0	0	0
-1.375	-1.255	0.205
-0.355	-0.125	0.545
0	0	0
-1.205	-1.345	0.535
-2.025	-1.825	1.095
-2.005	-2.245	0.365
-1.375	-1.255	0.205
-1.815	-1.445	1.055
-1.795	-1.465	-0.175
-2.135	-2.525	0.755
-2.035	-2.185	0.955
-1.215	-0.545	-0.385
-1.135	-0.815	-0.165
-0.655	-0.135	0.465
-1.275	-0.685	0.395
-2.315	-2.345	0.915
0	0	0
0	0	0
-0.905	-0.695	-0.345
-2.035	-2.185	0.955
-2.325	-2.055	0.705
-1.745	-1.325	0.275
-2.025	-2.045	-0.235
-1.015	-0.755	-0.635
-1.595	-1.015	0.235
-1.535	-1.245	0.625
-0.735	0.195	-0.365
-1.185	-1.055	0.605
0	0	0
-2.465	-2.485	0.405
-0.835	-0.125	0.075
-0.425	-0.225	-0.225
0	0	0
-1.725	-2.145	-0.315
-1.495	-1.765	-0.335
-2.105	-1.715	0.685
-0.995	-0.165	0.625
-2.375	-2.155	0.285
-1.375	-1.085	-0.655
-2.255	-2.305	0.535
-0.835	-0.125	0.075
0	0	0
-1.725	-1.915	0.435
-0.375	-0.155	0.245
-0.715	-0.315	0.705
-0.655	-0.135	0.465
-1.005	-0.555	0.695
-1.205	-0.905	1.045
-1.555	-1.405	-0.655
-1.275	-1.105	-0.145
-0.765	0.145	0.515
-0.515	0.075	-0.595
-1.225	-0.765	0.775
0	0	0
0	0	0
0	0	0
-0.835	-0.125	0.075
-2.005	-2.035	0.615
-1.205	-1.345	0.535
0	0	0
-1.205	-0.905	1.045
-0.735	0.195	-0.365
-1.795	-1.465	-0.175
-1.535	-1.245	0.625
-2.345	-2.035	-0.015
-2.075	-1.785	-0.395
-1.485	-1.385	0.935
0	0	0
0	0	0
-1.495	-1.765	-0.335
-1.105	-1.075	-0.405
-1.275	-1.105	-0.145
