0	0	0
-2.055	-1.725	0.985
-1.495	-0.945	-0.385
-0.885	-0.235	0.015
-1.745	-1.645	-0.655
0	0	0
0	0	0
-1.875	-1.535	-0.085
-0.435	-0.205	-0.225
-2.115	-2.565	0.515
-1.495	-0.945	-0.385
-0.965	-0.495	0.635
-1.715	-1.215	0.745
-1.505	-1.615	0.545
-2.005	-2.255	0.665
-1.635	-1.365	0.035
-1.165	-0.605	0.395
-0.735	-0.325	-0.295
-1.755	-1.425	0.525
-1.875	-1.535	-0.085
-1.875	-1.535	-0.085
-1.965	-2.495	-0.505
-1.385	-1.495	-0.365
0	0	0
-1.405	-0.945	0.665
-1.105	-0.795	0.785
-2.445	-2.445	0.305
-0.565	-0.135	0.935
-1.595	-0.885	0.285
0	0	0
-0.885	-0.525	1.075
-1.495	-1.295	1.275
0	0	0
0	0	0
-1.035	-1.025	-0.095
-2.095	-2.245	-0.375
0	0	0
-0.585	-0.185	0.045
-0.835	-0.355	-0.605
-1.965	-2.495	-0.505
-1.095	-0.695	-0.035
-0.635	0.115	0.715
0	0	0
-1.165	-1.265	0.535
-2.055	-1.725	0.985
-2.155	-2.035	0.335
-1.525	-1.255	0.385
-1.565	-1.555	0.955
-1.875	-1.535	-0.085
-2.295	-2.435	0.745
-2.045	-2.185	0.995
0	0	0
-1.035	-1.025	-0.095
-0.395	-0.185	0.345
-1.165	-0.605	0.395
-2.325	-2.395	1.095
-0.565	-0.135	0.935
-2.275	-1.985	-0.085
-0.865	-0.715	-0.355
-2.045	-2.185	0.995
-2.295	-1.995	0.855
-1.685	-1.715	0.315
-2.005	-1.955	-0.275
-1.205	-0.505	-0.405
-1.265	-1.325	0.225
-1.715	-1.215	0.745
0	0	0
-1.405	-0.945	0.665
0	0	0
-2.445	-2.445	0.305
-0.585	-0.185	0.045
-0.435	-0.205	-0.225
0	0	0
-2.095	-2.245	-0.375
-1.715	-1.315	-0.265
-2.135	-1.695	0.635
-0.965	-0.495	0.635
-2.155	-2.035	0.335
-1.495	-1.305	-0.655
-2.295	-1.995	0.855
-0.585	-0.185	0.045
0	0	0
-1.505	-1.615	0.545
-0.755	0.075	0.445
-0.965	-0.495	0.635
-0.395	-0.185	0.345
-1.295	-0.935	0.365
-1.225	-0.925	1.085
-1.745	-1.645	-0.655
-1.265	-1.325	0.225
-0.755	0.075	0.445
-0.595	-0.045	-0.585
-1.345	-0.555	0.795
-1.755	-1.925	0.935
0	0	0
0	0	0
-0.595	0.065	-0.205
-1.675	-2.035	0.345
-1.525	-1.255	0.385
0	0	0
-1.225	-0.925	1.085
-0.435	-0.205	-0.225
-1.635	-1.365	0.035
-1.755	-1.425	0.525
-2.275	-1.985	-0.085
-2.065	-1.655	-0.385
-1.715	-1.215	0.745
